rank,lemma,gloss,kind,ref_count,ref_coverage
1693,μαρτύρομαι,"to call to witness, attest, invoke",L,5,94.7853
1694,μεθίστημι,"to place in another way, to change",L,5,94.7890
1695,μερίς,"a part, portion, share, parcel",L,5,94.7926
1696,μεταδίδωμι,"to give part of, give a share of",L,5,94.7962
1697,μετασχηματίζω,to change the form of,L,5,94.7999
1698,μιαίνω,"to stain, to defile",L,5,94.8035
1699,μοιχάομαι,,L,5,94.8071
1700,μωρία,"silliness, folly",L,5,94.8108
1701,μῦθος,"anything, delivered by word of mouth, word, speech",L,5,94.8144
1702,νηστεία,a fast [JT: cut off?],L,5,94.8180
1703,οἰκτιρμός,"pity, compassion",L,5,94.8217
1704,οὐρά,the tail,L,5,94.8253
1705,πένθος,"grief, sadness, sorrow",L,5,94.8289
1706,πέτομαι,to fly,L,5,94.8326
1707,πίναξ,"a board, plank",L,5,94.8362
1708,παίω,"to strike, smite",L,5,94.8398
1709,παγίς,a trap,L,5,94.8435
1710,πανουργία,"knavery, roguery, villany",L,5,94.8471
1711,παράκλητος,called to one's aid,L,5,94.8507
1712,παραβάτης,,L,5,94.8544
1713,παραγγελία,a command,L,5,94.8580
1714,παρακύπτω,to stoop sideways,L,5,94.8617
1715,παραλύομαι,,L,5,94.8653
1716,παραπορεύομαι,to go beside,L,5,94.8689
1717,παροιμία,"a by-word, common saying, proverb, maxim, saw",L,5,94.8726
1718,πατέω,"to tread, walk",L,5,94.8762
1719,περίκειμαι,to lie round about,L,5,94.8798
1720,περίσσευμα,"that which remains over, abundance",L,5,94.8835
1721,περιαιρέω,"to take off something that surrounds, take off an outer coat, take away, strip off",L,5,94.8871
1722,περιποίησις,"a keeping safe, preservation",L,5,94.8907
1723,πλάνος,"leading astray, deceiving, (noun) wandering",L,5,94.8944
1724,πλεονεκτέω,to have or claim more than one’s share; to have an advantage,L,5,94.8980
1725,πλευρά,a rib,L,5,94.9016
1726,πλοιάριον,"a skiff, boat",L,5,94.9053
1727,ποίμνη,a flock,L,5,94.9089
1728,ποίμνιον,a flock,L,5,94.9125
1729,προβαίνω,"to step on, step forward, advance",L,5,94.9162
1730,προγινώσκω,,L,5,94.9198
1731,προθυμία,"readiness, willingness, eagerness, zeal",L,5,94.9234
1732,πρωτοκλισία,the first seat at table,L,5,94.9271
1733,πρόκειμαι,to be set before one,L,5,94.9307
1734,πτέρυξ,the wing,L,5,94.9344
1735,πταίω,to make to stumble,L,5,94.9380
1736,πωρόω,"to petrify, turn into stone",L,5,94.9416
1737,σίναπι,mustard,L,5,94.9453
1738,σείω,"to shake, move to and fro",L,5,94.9489
1739,σιδηροῦς,,L,5,94.9525
1740,σκηνόω,"to pitch tents, encamp",L,5,94.9562
1741,σκληρός,hard,L,5,94.9598
1742,σκορπίζω,"to scatter, disperse",L,5,94.9634
1743,σκορπίος,,L,5,94.9671
1744,σκοτίζομαι,,L,5,94.9707
1745,σπυρίς,,L,5,94.9743
1746,στάχυς,an ear of corn,L,5,94.9780
1747,στοιχέω,to go in a line,L,5,94.9816
1748,στῆθος,the breast,L,5,94.9852
1749,συγχέω,"to pour together, commingle, confound",L,5,94.9889
1750,συμπνίγω,"to throttle, choke, press closely",L,5,94.9925
1751,συνεργέω,"to work together with, help in work, cooperate",L,5,94.9961
1752,συνεσθίω,eat together,L,5,94.9998
1753,συσταυρόομαι,to be crucified with,L,5,95.0034
1754,σωτήριος,"saving, delivering",L,5,95.0071
1755,σύρω,"to draw, drag",L,5,95.0107
1756,ταχύς,"quick, swift, fleet",L,5,95.0143
1757,τετρακισχίλιοι,four thousand,L,5,95.0180
1758,τρόμος,"a trembling, quaking, quivering",L,5,95.0216
1759,υἱοθεσία,adoption as a son,L,5,95.0252
1760,φωτεινός,,L,5,95.0289
1761,φόρος,"tribute, payment",L,5,95.0325
1762,φύραμα,that which is mixed,L,5,95.0361
1763,χαλκός,copper,L,5,95.0398
1764,χρίω,to touch on the surface: to rub,L,5,95.0434
1765,χρονίζω,to spend time,L,5,95.0470
1766,χρῄζω,"to need, want, lack, have need of",L,5,95.0507
1767,ψάλλω,"to touch sharply, to pluck, pull, twitch",L,5,95.0543
1768,ψευδομαρτυρέω,"to be a false witness, bear false witness",L,5,95.0579
1769,ἀγαλλίασις,"great joy, exultation",L,5,95.0616
1770,ἀετός,an eagle,L,5,95.0652
1771,ἀκαταστασία,"instability, anarchy, confusion",L,5,95.0688
1772,ἀκριβῶς,,L,5,95.0725
1773,ἀνάπαυσις,"repose, rest",L,5,95.0761
1774,ἀνέγκλητος,"not accused, without reproach, void of offence",L,5,95.0798
1775,ἀνακράζω,"to cry out, lift up the voice",L,5,95.0834
1776,ἀναπέμπω,to send up,L,5,95.0870
1777,ἀνεκτός,"bearable, sufferable, tolerable",L,5,95.0907
1778,ἀνθύπατος,a proconsul,L,5,95.0943
1779,ἀντίδικος,"an opponent in a suit, defendant",L,5,95.0979
1780,ἀντίχριστος,Antichrist,L,5,95.1016
1781,ἀντιτάσσομαι,,L,5,95.1052
1782,ἀπέναντι,"opposite, against",F,5,95.1088
1783,ἀποσπάω,to tear,L,5,95.1125
1784,ἀποστερέω,"to rob, despoil, bereave",L,5,95.1161
1785,ἀρετή,"goodness, excellence",L,5,95.1197
1786,ἀσφαλής,"not liable to fall, immoveable, steadfast, firm",L,5,95.1234
1787,ἀσύνετος,"void of understanding, stupid",L,5,95.1270
1788,ἀφανίζω,"to make unseen, hide from sight",L,5,95.1306
1789,ἀόρατος,"unseen, not to be seen, invisible",L,5,95.1343
1790,ἁλιεύς,,L,5,95.1379
1791,ἁμάρτημα,"a failure, fault, sin",L,5,95.1415
1792,ἄμεμπτος,"not to be blamed, blameless",L,5,95.1452
1793,ἄμμος,"sand, sandy ground",L,5,95.1488
