rank,lemma,gloss,kind,ref_count,ref_coverage
756,ὅπη,by which way,F,61,85.69
757,ἀναγιγνώσκω,"to know well, know certainly; to read",L,61,85.7
758,καθίζω,"to make to sit down, seat",L,61,85.72
759,ἐπιτήδευμα,"a pursuit, business, practice",,61,85.73
760,δουλεύω,to be a slave,L,61,85.74
761,μάθημα,"that which is learnt, a lesson",L,61,85.76
762,ποῦ,where,F,61,85.77
763,ὀπίσω,backwards,F,60,85.78
764,ἥκιστος,least,,60,85.8
765,ἀναιρέω,to take up; to destroy,L,60,85.81
766,σαφής,"clear, plain, distinct, manifest",,60,85.82
767,ἡσσάομαι,"to be less than another, inferior to",L,60,85.83
768,θέω,to run,L,60,85.85
769,δήπου,"perhaps, it may be",F,60,85.86
770,αἰσχύνω,"to make ugly, disfigure, mar",L,60,85.87
771,ἐλαύνω,"to drive, drive on, set in motion",L,60,85.88
772,χαρά,"joy, delight",,60,85.9
773,ὁρμέω,"to be moored, lie at anchor",L,59,85.91
774,ὄψις,"look, appearance, aspect",,59,85.92
775,ἑκατόν,a hundred,,59,85.94
776,ἀπάγω,"to lead away, carry off",L,59,85.95
777,περ,precisely; w. pple. even though (later καίπερ),,59,85.96
778,δεῦρο,hither,,59,85.97
779,πεζός,on foot,L,58,85.99
780,στάδιον,"a stade, = ca. 600 feet",,58,86
781,ἔχθρα,"hatred, enmity",,58,86.01
782,καθοράω,(to look down); to observe,L,58,86.02
783,ἐντυγχάνω,"to light upon, fall in with, meet with",L,58,86.03
784,ἅτε,just as (both pre-and postposed); w. part.: because,,58,86.05
785,ἀδελφή,a sister,L,58,86.06
786,ἀγρός,"fields, lands",L,58,86.07
787,σπείρω,to sow,L,58,86.08
788,ἀποφαίνω,"to shew fort, display, produce",L,57,86.1
789,διότι,"for the reason that, since",,57,86.11
790,διανοέομαι,"to be minded, intend, purpose",L,57,86.12
791,χίλιοι,a thousand,,57,86.13
792,συλλαμβάνω,"to collect, gather together",L,57,86.15
793,εἶτα,"then, next",,57,86.16
794,ἡλικία,"time of life, age",,57,86.17
795,δοκιμάζω,to assay,L,57,86.18
796,ζῷον,"a living being, animal",,57,86.19
797,τύραννος,an absolute sovereign,L,57,86.21
798,τέλειος,"having reached its end, finished, complete",,57,86.22
799,δαιμόνιον,"divine being, spirit",L,57,86.23
800,χωρέω,"give way, draw back, retire, withdraw",L,56,86.24
801,εἴσειμι,to go into,L,56,86.25
802,ὀνομάζω,to name,L,56,86.27
803,χείρων,"worse, meaner, inferior",,56,86.28
