rank,lemma,gloss,kind,ref_count,ref_coverage
1268,ὀνειδίζω,to throw a reproach upon,L,31,90.37
1269,ὅποι,"to which place, whither",F,31,90.37
1270,ὑπηρέτης,(an under-rower); a servant,,31,90.38
1271,γυμνός,"naked, unclad",L,31,90.39
1272,ῥίπτω,"to throw, cast, hurl",L,31,90.39
1273,ἥδομαι,"to enjoy oneself, take delight, take one's pleasure",L,31,90.4
1274,τελειόω,"to make perfect, complete",L,31,90.41
1275,ψεῦδος,"a falsehood, untruth, lie",L,31,90.41
1276,πέτρα,"a rock, a ledge",,31,90.42
1277,εὐλογέω,"to speak well of, praise, honour",L,31,90.43
1278,ἀρνίον,a little lamb; a sheep-skin,,31,90.43
1279,διαβολή,"false accusation, slander, calumny",,31,90.44
1280,προσδέχομαι,"to receive favourably, accept",L,30,90.45
1281,τιτρώσκω,to wound,L,30,90.45
1282,ἐμβάλλω,"to throw in, put in",L,30,90.46
1283,αἰσχύνη,"shame done one, disgrace, dishonour",L,30,90.47
1284,ἐναντιόομαι,"to set oneself against, oppose, withstand",L,30,90.47
1285,ἐπιβάλλω,to throw,L,30,90.48
1286,δίς,"twice, doubly",,30,90.49
1287,εὔνοια,"good-will, favour, kindness",L,30,90.49
1288,μέμφομαι,"to blame, censure, find fault with",L,30,90.5
1289,καταγιγνώσκω,"to remark, discover",L,30,90.5
1290,γενναῖος,"noble, excellent",L,30,90.51
1291,ὑπηρετέω,"to do service on board ship, to do rower's service",L,30,90.52
1292,ἄχρηστος,"useless, unprofitable, unserviceable",,30,90.52
1293,φροντίζω,"to think, consider, reflect, take thought, have a care, give heed",L,30,90.53
1294,μῦθος,"anything, delivered by word of mouth, word, speech",,30,90.54
1295,τεός,"᾽= σός, 'your'",,30,90.54
1296,ἀνατίθημι,"dedicate, refer",L,30,90.55
1297,ἱππεύω,to be a horseman,L,30,90.56
1298,ἰχθύς,a fish,,30,90.56
1299,ἄγριος,"(living in the fields) wild, savage, harsh",L,30,90.57
1300,δειπνέω,to make a meal,L,30,90.58
1301,ἄχθομαι,to be loaded; to be annoyed,L,30,90.58
1302,ἄθλιος,"winning the prize, struggling, wretched",L,30,90.59
1303,συντίθημι,to put together,L,29,90.59
1304,ἀποβάλλω,to throw off,L,29,90.6
1305,περιγίγνομαι,to be superior to; to survive,L,29,90.61
1306,ἐκφέρω,to carry out of,L,29,90.61
1307,διακρίνω,to separate one from another,L,29,90.62
1308,διαφεύγω,"to flee through, get away from, escape",L,29,90.63
1309,στρατοπεδεύω,"to encamp, bivouac, take up a position",L,29,90.63
1310,ἀποπλέω,"to sail away, sail off",L,29,90.64
1311,πονέω,"to work hard, do work, suffer toil",L,29,90.64
1312,οἷ2,whither; where (to),F,29,90.65
1313,μηχανάομαι,"to prepare, make ready",L,29,90.66
1314,προσποιέω,"to make over to; mid. procure, pretend",L,29,90.66
1315,παράκλησις,"a calling to one's aid, summons",L,29,90.67
1316,δέος,"fear, alarm",,29,90.67
1317,κατάγω,to lead down,L,29,90.68
1318,σπεύδω,"to set a-going, to urge on, hasten, quicken",L,29,90.69
1319,ποιητέος,to be made,L,29,90.69
1320,γέφυρα,"a dyke, dam",,29,90.7
1321,πανταχοῦ,everywhere,,29,90.71
1322,ψήφισμα,a proposition carried by vote,L,29,90.71
1323,ἐξελέγχω,"to convict, confute, refute",L,29,90.72
1324,φθέγγομαι,to utter a sound,L,29,90.72
1325,κοσμέω,"to order, arrange",L,29,90.73
1326,ἀνόητος,"not thought on, unheard of; senseless, silly",,29,90.74
1327,ἐγκωμιάζω,to praise,L,29,90.74
1328,πάντῃ,"every way, on every side",,29,90.75
1329,ἐκφεύγω,to flee out,L,29,90.76
1330,μεταλαμβάνω,to have or get a share of,L,29,90.76
1331,κοιμάω,to lull,L,29,90.77
1332,κρύπτω,"to hide, cover, cloak",L,29,90.77
1333,ἔνθεν,whence; thence,,29,90.78
1334,πεινάω,"to be hungry, suffer hunger, be famished",L,29,90.79
1335,σκανδαλίζω,"to make to stumble, give offence to",L,29,90.79
1336,καθαρίζω,"to make clean, to cleanse",L,29,90.8
1337,ἐκραίνω,"to scatter out of, make to fall in drops from",L,29,90.8
1338,πάσχα,Passover,,29,90.81
1339,γνωρίζω,"to make known, point out, explain",L,29,90.82
1340,ἐνίοτε,sometimes,,29,90.82
1341,θυμοειδής,"high-spirited, courageous",,29,90.83
1342,ἐπιγίγνομαι,"to be born after, come into being after",L,28,90.84
1343,συμμαχέω,"to be an ally, to be in alliance",L,28,90.84
1344,προθυμία,"readiness, willingness, eagerness, zeal",L,28,90.85
1345,καταφεύγω,to flee for refuge,L,28,90.85
1346,προσλαμβάνω,to take or receive in addition,L,28,90.86
1347,ἀκρόπολις,the upper city,L,28,90.87
1348,αὐτόθι,on the spot,,28,90.87
1349,ἐκλείπω,"to leave out, omit, pass over",L,28,90.88
1350,ἄνωθεν,"from above, from on high",,28,90.88
1351,ὕβρις,"wantonness, wanton violence",L,28,90.89
1352,συχνός,long,,28,90.89
1353,ἐθίζω,"to accustom, use",L,28,90.9
1354,τυραννεύω,"to be a monarch, an absolute ruler",L,28,90.91
1355,κριτής,"a decider, judge, umpire",,28,90.91
1356,λοιδορέω,"to abuse, revile",L,28,90.92
1357,βιόω,"to live, pass one's life",L,28,90.92
1358,προάγω,"to lead forward, on, onward",L,28,90.93
1359,θεοφιλής,"dear to the gods, highly favoured",,28,90.94
1360,ὑπολείπω,to leave remaining,L,28,90.94
1361,ἐνθένδε,"hence, from this quarter",,28,90.95
1362,παράγω,to lead by,L,28,90.95
1363,χρυσίον,a piece of gold,L,28,90.96
1364,ἁγιάζω,"hallow, make sacred",L,28,90.97
1365,προφητεύω,to be an interpreter,L,28,90.97
1366,ποιμήν,"herdsman, shepherd",L,28,90.98
1367,ἀναβλέπω,to look up,L,28,90.98
1368,νεανίσκος,a youth,,28,90.99
1369,πληγή,"a blow, stroke",,28,91
1370,πνευματικός,"of spirit, spiritual",L,28,91
1371,φάλαγξ,"a line of battle, battle-array",,28,91.01
1372,μειράκιον,"a boy, lad, stripling",,28,91.01
1373,θάσσων,"quicker, swifter",,27,91.02
1374,ναυμαχία,a sea-fight,L,27,91.03
1375,φείδομαι,to spare,L,27,91.03
1376,μηχανή,"an instrument, machine",,27,91.04
1377,ἐκπέμπω,to send out,L,27,91.04
1378,κρέας,"flesh, meat, a piece of meat",,27,91.05
1379,ἀρκέω,to ward off; to be sufficient,L,27,91.05
1380,συμμαχία,an alliance offensive and defensive,L,27,91.06
1381,ἀπαιτέω,"to demand back, demand",L,27,91.07
1382,κράτος,"strength, might",,27,91.07
1383,διατάσσω,to appoint,L,27,91.08
1384,ἔθος,"custom, habit",,27,91.08
1385,πρόειμι,go forward,L,27,91.09
1386,νέμω,"to deal out, distribute, dispense",L,27,91.1
1387,ὁμολογία,agreement,L,27,91.1
1388,ἀποτρέπω,"to turn away from, dissuade",L,27,91.11
1389,πη,"[Dor. in some way, somehow]",F,27,91.11
1390,ἐκτείνω,to stretch out,L,27,91.12
1391,προέρχομαι,"to go forward, go on, advance",L,27,91.12
1392,ἀσεβέω,"to be impious, to act profanely, sin against the gods",L,27,91.13
1393,ἄπειρος,"without trial, inexperienced",,27,91.14
1394,τηλικοῦτος,"of such an age, of such a magnitude",,27,91.14
1395,εὐδοκιμέω,"to be of good repute, to be held in esteem, honoured, famous, popular",L,27,91.15
1396,ὑφή,a web [JT: or clothes],,27,91.15
1397,ἅπαξ,once,,27,91.16
1398,θησαυρός,"a store laid up, treasure",,27,91.16
1399,μαίνομαι,"to rage, be furious",L,27,91.17
1400,ἄρσην,male,,27,91.18
1401,ἐκβαίνω,to step out of,L,27,91.18
1402,ἄτιμος,"unhonoured, dishonoured",L,27,91.19
1403,βαστάζω,"to lift, lift up, raise",L,27,91.19
1404,κρίμα,"decision, judgement",,27,91.2
1405,νεφέλη,a cloud,,27,91.2
1406,χήρα,"bereft of a husband, a widow",,27,91.21
1407,γνῶσις,"a (judicial) inquiry, knowledge",L,27,91.22
1408,καταργέω,to leave unemployed,L,27,91.22
1409,συνείδησις,self-consciousness: conscience,,27,91.23
1410,θέρος,"summer, summertime; harvest, crop",,26,91.23
1411,λιμός,"hunger, famine",,26,91.24
1412,τοξότης,"a bowman, archer",,26,91.24
1413,προσδέω2,to need besides,L,26,91.25
1414,σιτίον,"grain, corn: food made from grain, bread",L,26,91.26
1415,ψευδής,"lying, false",L,26,91.26
1416,δρόμος,"a course, running, race",,26,91.27
1417,ψιλός,"bare, stripped; (soldier) without heavy armor, light troops",L,26,91.27
1418,δισχίλιοι,two thousand,,26,91.28
1419,οἰκίζω,to found as a colony,L,26,91.28
1420,παραπλήσιος,"coming near, nearly resembling, such-like",L,26,91.29
1421,στέφανος,that which surrounds,L,26,91.29
1422,παρουσία,"a being present, presence",L,26,91.3
1423,ὑπερβάλλω,to throw over,L,26,91.31
1424,κατηγορία,"an accusation, charge",,26,91.31
1425,μείγνυμι,"to mix, mix up, mingle, properly of liquids",L,26,91.32
1426,φθονέω,to bear ill-will,L,26,91.32
1427,ζηλόω,"to rival, vie with, emulate",L,26,91.33
1428,ὑπερβολή,a throwing beyond,L,26,91.33
1429,ποίησις,"a making, fabrication, creation, production",L,26,91.34
1430,περιμένω,"to wait for, await",L,26,91.34
1431,τυραννικός,"of or for a tyrant, befitting a tyrant, in favor of tyranny",L,26,91.35
1432,ἀσθενόω,to weaken,L,26,91.36
1433,προτίθημι,"to place before, to propose, to prefer",L,26,91.36
1434,ἄφρων,without sense,,26,91.37
1435,ἄρον,"cuckoo-pint, Arum italicum",,26,91.37
1436,ἀποφεύγω,"to flee from, escape",L,26,91.38
1437,ὗς,wild swine,,26,91.38
1438,ἱππικός,of a horse,,26,91.39
1439,βουκόλος,"a cowherd, herdsman",,26,91.39
1440,ποικίλος,"many-coloured, spotted, mottled, pied, dappled",L,26,91.4
1441,ἐκχέω,to pour out,L,26,91.4
1442,φώς,a man,,26,91.41
1443,ῥυθμός,"measured motion, time, rhythm",L,26,91.42
1444,κομιδῇ,"exactly, just",,26,91.42
1445,ἡσυχάζω,"to be still, keep quiet, be at rest",L,25,91.43
1446,περιίστημι,to place round,L,25,91.43
1447,πορίζω,"to carry: to bring about, to furnish, provide, supply, procure, cause",L,25,91.44
1448,προσπίπτω,"to fall upon, strike against",L,25,91.44
1449,ῥώμη,"bodily strength, strength, might",,25,91.45
1450,κατατίθημι,"to place, put",L,25,91.45
1451,ἐκεῖσε,"thither, to that place",,25,91.46
1452,ἐπίκουρος,"an assister, ally",,25,91.46
1453,κτείνω,"to kill, slay",L,25,91.47
1454,καρπόω,to bear fruit,L,25,91.47
1455,λίμνη,a pool of standing water; a lake,,25,91.48
1456,ἐκτίνω,"to pay off, pay in full",L,25,91.49
1457,κτῆσις,acquisition,,25,91.49
1458,ὑψηλός,"high, lofty, high-raised",,25,91.5
1459,ἀνάθημα,a votive offering set up,L,25,91.5
1460,καταγελάω,"to laugh at, jeer",L,25,91.51
1461,τάχα,"(Homer, later rare) quickly, presently; (post-Homer) perhaps",L,25,91.51
1462,βασίλειος,"of the king, kingly, royal",L,25,91.52
1463,σχολή,"spare time, leisure, rest, ease; σχολῇ scarcely",,25,91.52
1464,ὠνέομαι,"to buy, purchase",L,25,91.53
1465,νέω,to swim,L,25,91.53
1466,ἐμπίμπλημι,fill quite full,L,25,91.54
1467,παρατίθημι,to place beside,L,25,91.54
1468,συγκαλέω,"to call to council, convoke, convene",L,25,91.55
1469,ὄναρ,"a dream, vision in sleep",,25,91.55
1470,ἀστήρ,star,,25,91.56
1471,συνέδριον,"a body of men assembled in council, a council-board, council",,25,91.57
1472,πορνεία,"fornication, prostitution",L,25,91.57
1473,αὔριον,to-morrow,,25,91.58
1474,κατανοέω,"to observe well, to understand",L,25,91.58
1475,βαρύς,heavy,,25,91.59
1476,νή,(yes) by..,,25,91.59
1477,ἀπειθέω,"to be disobedient, refuse compliance",L,25,91.6
1478,ἔστε,"up to the time that, until",,25,91.6
1479,ἀποχωρέω,to go from,L,24,91.61
1480,πιέζω,"to press, squeeze; oppress, distress",L,24,91.61
1481,προσβάλλω,to strike,L,24,91.62
1482,λοχέος,an ambush,,24,91.62
1483,περίειμι,"be superior, survive, be left over",L,24,91.63
1484,κυβερνήτης,"a steersman, helmsman, pilot",,24,91.63
1485,ἐπιφέρω,"to bring, put",L,24,91.64
1486,σπένδω,"to pour a libation, (mid.) to make a treaty",L,24,91.64
1487,προσίημι,to send to,L,24,91.65
1488,ἀφοράω,to look away from,L,24,91.65
1489,ἐπιπίπτω,to fall upon,L,24,91.66
1490,ἐξίστημι,"to put out of its place, to change",L,24,91.66
1491,προπέμπω,"to send before, send on",L,24,91.67
1492,ἀθρόος,in crowds,L,24,91.67
1493,ἐφέπω,"to go after, follow, pursue",L,24,91.68
1494,μεθίστημι,"to place in another way, to change",L,24,91.68
1495,ἄμαξα,"a wagon, wain",,24,91.69
1496,ὀρός,the watery or serous part of milk,,24,91.7
1497,ἐπιτελέω,"to complete, finish, accomplish",L,24,91.7
1498,νόμιμος,"conformable to custom, usage",,24,91.71
1499,κτίζω,to found,L,24,91.71
1500,πρόκειμαι,to be set before one,L,24,91.72
1501,φῖλος,[> φιλία friendship],L,24,91.72
1502,τέως,"so long, meanwhile, the while",,24,91.73
1503,πότε,when? at what time?,F,24,91.73
1504,χωρίζω,"to separate, part, sever, divide",L,24,91.74
1505,ἀμείβω,"change, alternate, respond",L,24,91.74
1506,χαλκοῦς,a copper coin,,24,91.75
1507,ἀποδημέω,"to be away from home, be abroad",L,24,91.75
1508,ἴσχω,"to hold, check, curb, keep back, restrain",L,24,91.76
1509,ὀρύσσω,to dig,L,24,91.76
1510,μοῖρα,"a part, portion; fate",,24,91.77
1511,σής,a moth,,24,91.77
1512,γόνυ,the knee,,24,91.78
1513,ἐλαία,the olive-tree,,24,91.78
1514,διψάω,to thirst,L,24,91.79
1515,κλέπτης,a thief,,24,91.79
1516,ἐκτός,outside,,24,91.8
1517,χιών,snow,,24,91.8
1518,αἴσθησις,perception by the senses,L,24,91.81
1519,ἀνδράποδον,"one taken in war and sold as a slave, a captive",,24,91.81
1520,διαφερόντως,"differently from, at odds with",,24,91.82
1521,ἐπίκειμαι,"lie on, to be closed, to lie nearby (off the coast of)",L,23,91.82
1522,κλείω,"to shut, close, bar",L,23,91.83
1523,παραβαίνω,"(go beside) overstep, transgress, violate",L,23,91.83
1524,μέσης,a wind between,,23,91.84
1525,ἐφίζω,to set upon,L,23,91.84
1526,ἄκρος,at the furthest point,L,23,91.85
1527,παραινέω,"to exhort, recommend, advise",L,23,91.85
1528,ἔμπειρος,experienced,,23,91.86
1529,βίαιος,"forcible, violent",,23,91.86
1530,περίειμι2,go around,L,23,91.87
1531,πεντακόσιοι,five hundred,,23,91.87
1532,καθίημι,"to send down, let fall",L,23,91.88
1533,κεφάλαιος,of the head,,23,91.88
1534,ἀμαθία,ignorance,L,23,91.89
1535,πείρω,"to pierce quite through, fix",L,23,91.89
1536,φοβερός,fearful,L,23,91.9
1537,διαφορά,"difference, distinction",,23,91.9
1538,ἄνομος,"without law, lawless",,23,91.91
1539,ἀκροάομαι,"to hearken to, listen to",L,23,91.91
1540,πλήσσω,"to strike, smite",L,23,91.92
1541,παντελής,"all-complete, absolute, complete, entire",,23,91.92
1542,διατελέω,"to bring quite to an end, accomplish",L,23,91.93
1543,εὐσέβεια,"reverence towards the gods, piety, religion",L,23,91.93
1544,δυστυχέω,"to be unlucky, unhappy, unfortunate",L,23,91.94
1545,ἄριστον,"the morning meal, breakfast",,23,91.94
1546,ἐξετάζω,to examine well,L,23,91.95
1547,καταδουλόω,"to reduce to slavery, enslave",L,23,91.95
1548,φιλότιμος,"loving honour, covetous of honour, ambitious, emulous",L,23,91.96
1549,πρᾶος,"mild, soft, gentle, meek",,23,91.96
1550,ἀνομία,lawlessness,L,23,91.97
1551,ἡνίκα,"at which time, when",,23,91.97
1552,ἀπεχθάνομαι,"to be hated, incur hatred, be roused to hatred",L,23,91.97
1553,ἐπιτυγχάνω,to hit the mark,L,23,91.98
1554,ἀνάξιος,"unworthy, not deemed",,23,91.98
1555,δεσμωτήριον,a prison,L,23,91.99
1556,ἀμπελών,a vineyard,,23,91.99
1557,γρηγορέω,to be awake,L,23,92
1558,χιλιάς,"the number one thousand, a thousand",,23,92
1559,πλάσσω,"to form, mould, shape",L,23,92.01
1560,τείνω,to stretch,L,23,92.01
1561,πενία,"poverty, need",,23,92.02
1562,ὀλιγαρχικός,"oligarchical, of, for",L,23,92.02
1563,πλόος,"a sailing, voyage",L,22,92.03
1564,ἐπιμένω,"to stay on, tarry",L,22,92.03
1565,ἐπέχω,to hold on; hold out; hold back; adjourn; occupy,L,22,92.04
1566,στενός,"narrow, strait",,22,92.04
1567,εὐεργεσία,well-doing,L,22,92.05
1568,διαλύω,"to loose one from another, to part asunder, undo",L,22,92.05
1569,ἔγκλημα,"an accusation, charge, complaint",,22,92.06
1570,ἑβδομήκοντα,seventy,,22,92.06
1571,βρῶμα,"that which is eaten, food, meat",L,22,92.07
1572,φυλακός,guard,L,22,92.07
1573,ὀξύς,"wood sorrel, Oxalis Acetosella",,22,92.08
1574,διαγιγνώσκω,"to distinguish, discern",L,22,92.08
1575,κέρδος,"gain, profit, advantage",,22,92.08
1576,νίκη,victory,,22,92.09
1577,συμπέμπω,to send with,L,22,92.09
1578,ἀνθίστημι,to set against,L,22,92.1
1579,ἐφοράω,"to oversee, observe, survey",L,22,92.1
1580,προΐημι,"send forth, send forward; abandon",L,22,92.11
1581,διαρπάζω,to tear in pieces,L,22,92.11
1582,τελευτή,"a finishing, completion, accomplishment",,22,92.12
1583,κραυγή,"a crying, screaming, shrieking, shouting",,22,92.12
1584,ἐξαρκέω,"to be quite enough for, suffice for",L,22,92.13
1585,ἔνοχος,held in,,22,92.13
1586,παραδέχομαι,to receive from,L,22,92.14
1587,χάλκεος,of copper,,22,92.14
1588,πατρῷος,of or belonging to the father,L,22,92.15
1589,δάκτυλος,a finger,,22,92.15
1590,σχῆμα,"form, figure, appearance",,22,92.16
1591,θῆλυς,female,,22,92.16
1592,κατακλίνω,to lay down,L,22,92.16
1593,ὑγιαίνω,"to be sound, healthy",L,22,92.17
1594,ἐπάνω,"above, atop, on the upper side",F,22,92.17
1595,πηγή,"running waters, streams",,22,92.18
1596,θεραπεία,"a waiting on, service",,22,92.18
1597,ἀποδοκιμάζω,"to reject on scrutiny, to reject for want of qualification",L,22,92.19
1598,μετάνοια,"after-thought, repentance",L,22,92.19
1599,εὐδοκέω,to be well pleased,L,22,92.2
1600,θερίζω,"to do summer-work, to mow, reap",L,22,92.2
1601,κοπιάω,"to be tired, grow weary",L,22,92.21
1602,κοιλία,"the large cavity of the body, the belly",,22,92.21
1603,διδασκαλία,"teaching, instruction, education",L,22,92.22
1604,ἐκλεκτός,"picked out, select",,22,92.22
1605,γέμω,to be full,L,22,92.23
1606,σάλπιγξ,"a war-trumpet, trump",,22,92.23
1607,γνωστός,"known, to be known",L,22,92.24
1608,συκοφαντέω,"to accuse falsely, slander, calumniate",L,22,92.24
1609,νομοθετέω,to make law,L,22,92.24
1610,παιδικά,boyfriend,L,22,92.25
1611,γῆρας,old age,,22,92.25
1612,ψέγω,"to blame, censure",L,22,92.26
1613,μίμησις,imitation,,22,92.26
1614,ἐπάγω,to bring on,L,21,92.27
1615,πρόσειμι,be there (in addition),L,21,92.27
1616,κοινόω,"to make common, communicate, impart",L,21,92.28
1617,ἐτάζω,"to examine, test",L,21,92.28
1618,προσδέω,to bind on,L,21,92.29
1619,ἐπιδίδωμι,to give besides,L,21,92.29
1620,κόπτω,"to strike, smite, knock down",L,21,92.29
1621,ἐμμένω,to abide in,L,21,92.3
1622,λέων,a lion,,21,92.3
1623,νεωστί,"lately, just now",,21,92.31
1624,τρίς,"thrice, three times",L,21,92.31
1625,λῃστής,"a robber, plunderer",,21,92.32
1626,φθόνος,"ill-will, envy, jealousy",,21,92.32
1627,ἐγκαλέω,to call in; bring a charge or accusation,L,21,92.33
1628,τέρας,"a sign, wonder, marvel",,21,92.33
1629,ἀπολαύω,to have enjoyment of,L,21,92.33
1630,οἴκοι,"at home, in the house",L,21,92.34
1631,καταμανθάνω,"to observe well, examine closely",L,21,92.34
1632,κήδω,"to trouble, distress, vex; mid. care for",L,21,92.35
1633,μνήμη,"a remembrance, memory, record",,21,92.35
1634,ἐπιλανθάνομαι,to forget,L,21,92.36
1635,καταλέγω,"recount, tell at length and in order",L,21,92.36
1636,ὄνειδος,"reproach, censure, blame",,21,92.37
1637,γελάω,to laugh,L,21,92.37
1638,ῥήτωρ,"a public speaker, pleader",,21,92.38
1639,νομοθέτης,a lawgiver,,21,92.38
1640,λαμπρός,"bright, brilliant, radiant",,21,92.38
1641,χῶρος,"a piece of ground, ground, place",,21,92.39
1642,χιτών,"the garment worn next the skin, a frock",,21,92.39
1643,μεθίημι,"to let go, let loose, release",L,21,92.4
1644,χρηστήριον,an oracle,L,21,92.4
1645,ἀπιστία,"disbelief, distrust, mistrust",L,21,92.41
1646,φονεύω,"to murder, kill, slay",L,21,92.41
1647,ὄμμα,the eye,,21,92.42
1648,νέω3,"to heap, pile, heap up",L,21,92.42
1649,μετρέω,to measure in any way,L,21,92.42
1650,ὄνος,an ass,,21,92.43
1651,ἀνάβασις,"a going up, mounting",,21,92.43
1652,παρθένος,"a maid, maiden, virgin, girl",,21,92.44
1653,βάπτισμα,baptism,L,21,92.44
1654,ὡσεί,"just as if, as though",,21,92.45
1655,ὑποκριτής,"an interpreter, actor",L,21,92.45
1656,πειρασμός,"trial, temptation",L,21,92.46
1657,μεριμνάω,"to care for, be anxious about, think earnestly upon, scan minutely",L,21,92.46
1658,μαρτύριον,"a testimony, proof",,21,92.46
1659,ἐνεργέω,"to be in action, to operate",L,21,92.47
1660,μεθύω,to be drunken with wine,L,21,92.47
1661,χιλίαρχος,"the commander of a thousand men, a chiliarch",,21,92.48
1662,ὁμιλέω,"to be in company with, consort with",L,21,92.48
1663,μιμητής,"an imitator, copyist",,21,92.49
1664,σκηνέω,to be or dwell in a tent,L,21,92.49
1665,μάντις,"one who divines, a seer, prophet",,21,92.5
1666,ὀπισθοφύλαξ,one who guards the rear,,21,92.5
1667,ἀτεχνής,"unskilled, adv. ἀτεχνῶς simply",,21,92.51
1668,ἀτεχνῶς,simply,,21,92.51
1669,ἄτεχνος,"without art, ignorant of the rules of art, unskilled, empirical",,21,92.51
1670,ἀτέχνως,"without rules of art, empirically",,21,92.52
1671,λογιστικός,skilled,,21,92.52
1672,δημεύω,"to declare public property, to confiscate",L,21,92.53
1673,φυγάς,"one who flees, exile, fugitive",L,20,92.53
1674,δαπανάω,to spend,L,20,92.54
1675,πρωΐ,"early in the day, at morn",,20,92.54
1676,καίπερ,"although, albeit",,20,92.54
1677,τρόπαιον,a trophy,,20,92.55
1678,χειρόω,"master, subdue",L,20,92.55
1679,διαλλάσσω,"to change one with another, interchange",L,20,92.56
1680,ἀντεῖπον,to speak against,,20,92.56
1681,ἀσκός,"a leathern-bag, a wine-skin",,20,92.57
1682,μεταμέλομαι,"feel repentance, regret",L,20,92.57
1683,ἀναστρέφω,"to turn upside down, upset",L,20,92.57
1684,ἀραρίσκω,"to join, join together, fasten",L,20,92.58
1685,ἄλλοτε,"at another time, at other times",,20,92.58
1686,τοξεύω,to shoot with the bow,L,20,92.59
1687,ὑποπτεύω,to be suspicious,L,20,92.59
1688,ἑξακόσιοι,six hundred,,20,92.6
1689,θορυβέω,to make a noise,L,20,92.6
1690,δειλός,"cowardly, craven",,20,92.6
1691,βεβαιόω,"to make firm, confirm, establish, secure, warrant, make good",L,20,92.61
1692,πέμπτος,"the fifth, oneself with four others",,20,92.61
1693,ἕνδεκα,"eleven; the Eleven, police commissioners at Athens",L,20,92.62
1694,ἡγεμονία,"a leading the way, going first",,20,92.62
1695,ἀποφέρω,to carry off,L,20,92.63
1696,βωμός,"any raised platform, a stand",,20,92.63
1697,ἁρπαγή,"seizure, rapine, robbery, rape",,20,92.63
1698,χρηματίζω,"to negotiate, transact business, have dealings",L,20,92.64
1699,ταπεινός,low,,20,92.64
1700,νόσημα,"a sickness, disease, plague",,20,92.65
1701,αἵρεσις,a taking especially,L,20,92.65
1702,λατρεύω,to work for hire,L,20,92.66
1703,τέμνω,"to cut, hew",L,20,92.66
1704,ἕκτος,sixth,,20,92.66
1705,ἀνάκειμαι,to be laid up,L,20,92.67
1706,θέα,"a seeing, looking at, view",,20,92.67
1707,δίαιτα,"a way of living, mode of life",,20,92.68
1708,ὕπνος,"sleep, slumber",,20,92.68
1709,μεταβαίνω,to pass over from one place to another,L,20,92.69
1710,αὐλή,court,,20,92.69
1711,ὑστερέω,"to be behind, come late",L,20,92.69
1712,ἐξαιτέω,to demand,L,20,92.7
1713,περιφέρω,to carry round,L,20,92.7
1714,πλέθρον,"a plethron, = 100 feet long, or 10,000 square feet",,20,92.71
1715,βάθος,depth,,20,92.71
1716,ῥίζα,a root,,20,92.72
1717,ἐκκόπτω,"to cut out, knock out",L,20,92.72
1718,νηστεύω,to fast,L,20,92.72
1719,σκιά,a shadow,,20,92.73
1720,παράπτωμα,"a false step, a transgression, trespass",L,20,92.73
1721,θλίβω,"to press, squeeze, pinch",L,20,92.74
1722,νυμφίος,"a bridegroom, one lately married",,20,92.74
1723,κόπος,"a striking, beating",,20,92.75
1724,δόγμα,"that which seems to one, an opinion, dogma",L,20,92.75
1725,σκηνόω,"to pitch tents, encamp",L,20,92.75
1726,καταγγέλλω,"to denounce, betray",L,20,92.76
1727,ἀκροβυστία,the foreskin,L,20,92.76
1728,ἐπίγνωσις,full knowledge,,20,92.77
1729,βαδίζω,"to go slowly, to walk",L,20,92.77
1730,λεκτέος,to be said,,20,92.77
1731,ὄργανον,"an organ, instrument, tool, for making",L,20,92.78
1732,διάφορος,"different, unlike",,19,92.78
1733,ὑποχωρέω,"to go back, retire, recoil",L,19,92.79
1734,ὑφίστημι,"to place under; mid. to submit, to promise",L,19,92.79
1735,ἠώς,"the morning red, daybreak, dawn",,19,92.8
1736,διΐστημι,"set apart, separate",L,19,92.8
1737,μόλις,"barely, scarcely",,19,92.8
1738,εἰκάζω,"to make like to, represent by a likeness, portray",L,19,92.81
1739,ὀϊστός,arrow,,19,92.81
1740,ἱδρύω,"to make to sit down, to seat",L,19,92.82
1741,ἀδεής,"without fear, fearless; causing no fear",L,19,92.82
1742,ποι,somewhither,F,19,92.82
1743,ποῖ,"whither? (i.e., in what direction?)",F,19,92.83
1744,ἀνθρώπειος,"of man, of mankind",,19,92.83
1745,ἐπιβουλή,a plan against,,19,92.84
1746,προεῖπον,to tell,L,19,92.84
1747,στεφανόω,"to wreathe, to crown",L,19,92.84
1748,καθαίρω,to make pure,L,19,92.85
1749,ὑποδείκνυμι,to shew secretly,L,19,92.85
1750,πεμπτός,sent,L,19,92.86
1751,σύνειμι2,come together,L,19,92.86
1752,σιωπάω,to be silent,L,19,92.86
1753,φιλοσοφέω,"to love knowledge, pursue it, philosophise",L,19,92.87
1754,πλεονεξία,"greediness, assumption, arrogance",,19,92.87
1755,ἀργός2,"not working the ground, living without labour",,19,92.88
1756,συνουσία,"a being with, social intercourse, society, conversation, communion",L,19,92.88
1757,μυριάς,"a number of ten thousand, myriad",,19,92.88
1758,καταισχύνω,"to disgrace, dishonour, put to shame",L,19,92.89
1759,ὄλεθρος,"ruin, destruction, death",,19,92.89
1760,φονεύς,"a murderer, slayer, homicide",L,19,92.9
1761,βλάβη,"hurt, harm, damage",L,19,92.9
1762,περαίνω,"to bring to an end, finish, accomplish, execute",L,19,92.9
1763,παραιτέομαι,to beg from,L,19,92.91
1764,θεά,a goddess,,19,92.91
