variant,lemma,kind,note
εἴκοσι,εἴκοσιν,orthographic,without the movable consonant
μέχρι,μέχρις,orthographic,without the movable consonant
οὕτω,οὕτως,orthographic,without the movable consonant
πέρυσι,πέρυσιν,orthographic,without the movable consonant
ἔξεστι,ἔξεστιν,orthographic,without the movable consonant
